City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Pangkalanbuun,ID,2021-04-20 19:49:45,-2.6833,111.6167,73.35,88,13,1.72
213,Cooma,AU,2021-04-20 19:49:46,-36.2333,149.1333,35.6,93,75,11.5
214,Sawtell,AU,2021-04-20 19:49:46,-30.3833,153.1,50.0,87,0,6.51
215,Namatanai,PG,2021-04-20 19:49:46,-3.6667,152.4333,81.03,80,100,7.96
216,Jinchang,CN,2021-04-20 19:49:47,38.4953,102.1739,53.01,42,89,4.12
217,Padang,ID,2021-04-20 19:49:47,-0.9492,100.3543,78.33,88,100,2.28
218,Nago,JP,2021-04-20 19:49:47,26.5881,127.9761,69.8,68,1,10.36
219,La Sarre,CA,2021-04-20 19:45:11,48.8002,-79.1996,23.68,64,100,15.86
220,Walvis Bay,NA,2021-04-20 19:49:48,-22.9575,14.5053,80.01,43,3,1.99
221,Coquimbo,CL,2021-04-20 19:49:48,-29.9533,-71.3436,68.0,49,40,14.97
222,San Luis,AR,2021-04-20 19:46:11,-33.295,-66.3356,79.83,42,23,20.65
223,Akyab,MM,2021-04-20 19:49:48,20.15,92.9,78.57,87,4,7.14
224,Pevek,RU,2021-04-20 19:49:49,69.7008,170.3133,23.72,68,44,18.52
225,Mattru,SL,2021-04-20 19:49:49,7.6244,-11.8332,81.1,79,28,5.66
226,Seydi,TM,2021-04-20 19:49:50,39.4816,62.9137,66.31,37,65,14.45
227,Upernavik,GL,2021-04-20 19:49:50,72.7868,-56.1549,14.58,77,98,1.83
228,Rundu,NA,2021-04-20 19:49:50,-17.9333,19.7667,63.21,42,1,5.99
229,Anadyr,RU,2021-04-20 19:49:50,64.75,177.4833,12.2,85,20,2.24
230,Inhambane,MZ,2021-04-20 19:49:51,-23.865,35.3833,69.94,86,22,6.73
231,Verkhnevilyuysk,RU,2021-04-20 19:49:51,63.4453,120.3167,-11.34,100,100,0.51
232,Santa Cruz,BO,2021-04-20 19:49:51,-17.8,-63.1667,86.0,62,40,8.05
233,Kahului,US,2021-04-20 19:49:52,20.8947,-156.47,78.8,73,40,4.61
234,Fukue,JP,2021-04-20 19:49:52,32.6881,128.8419,61.47,57,28,5.08
235,Hasaki,JP,2021-04-20 19:47:47,35.7333,140.8333,51.8,93,20,2.3
236,Gandajika,CD,2021-04-20 19:49:53,-6.75,23.95,68.86,92,100,2.26
237,Saint-Augustin,CA,2021-04-20 19:49:53,51.226,-58.6502,47.64,49,76,10.04
238,Bereda,ES,2021-04-20 19:49:53,43.2686,-7.5406,50.0,100,34,1.01
239,Hithadhoo,MV,2021-04-20 19:46:05,-0.6,73.0833,82.38,66,89,5.41
240,Tiksi,RU,2021-04-20 19:49:54,71.6872,128.8694,9.86,95,100,11.45
241,Vieux-Habitants,GP,2021-04-20 19:49:54,16.0589,-61.7659,82.4,61,75,13.8
242,Berdsk,RU,2021-04-20 19:49:54,54.7551,83.0967,26.6,59,0,8.95
243,Phalaborwa,ZA,2021-04-20 19:49:04,-23.943,31.1411,69.8,73,37,4.61
244,Chingirlau,KZ,2021-04-20 19:49:55,51.095,54.0814,37.62,49,96,14.81
245,Soe,ID,2021-04-20 19:49:55,-9.8607,124.284,62.78,94,27,2.57
246,Newport,GB,2021-04-20 19:47:12,51.5877,-2.9984,55.99,54,97,5.75
247,Agua Verde,MX,2021-04-20 19:49:56,22.9,-106.05,84.2,48,1,6.91
248,Sept-Iles,CA,2021-04-20 19:45:52,50.2001,-66.3821,46.4,71,100,4.61
249,Kozhva,RU,2021-04-20 19:49:56,65.1073,57.0459,29.46,96,29,2.62
250,Opuwo,NA,2021-04-20 19:49:56,-18.0607,13.84,71.08,32,4,8.28
251,Khandyga,RU,2021-04-20 19:49:57,62.6667,135.6,15.06,95,100,5.32
252,Teguise,ES,2021-04-20 19:48:25,29.0605,-13.564,68.0,73,20,18.41
253,Plouzane,FR,2021-04-20 19:49:57,48.3833,-4.6167,53.6,71,0,12.37
254,Muros,ES,2021-04-20 19:46:12,42.7762,-9.0603,57.99,90,89,1.99
255,Laguna,US,2021-04-20 19:49:57,38.421,-121.4238,71.01,40,1,11.5
256,Mareeba,AU,2021-04-20 19:49:58,-17.0,145.4333,73.99,94,75,3.44
257,Kavarna,BG,2021-04-20 19:49:58,43.4333,28.3333,50.0,81,40,3.44
258,Safaga,EG,2021-04-20 19:49:58,26.7292,33.9365,80.6,50,0,8.05
259,Genhe,CN,2021-04-20 19:49:59,50.7833,121.5167,38.91,68,48,4.83
260,Qaqortoq,GL,2021-04-20 19:48:16,60.7167,-46.0333,44.6,39,75,6.91
261,Flinders,AU,2021-04-20 19:49:59,-34.5833,150.8552,57.0,70,19,1.99
262,Praia Da Vitoria,PT,2021-04-20 19:50:00,38.7333,-27.0667,71.6,56,20,10.6
263,Riyadh,SA,2021-04-20 19:49:26,24.6877,46.7219,84.2,20,0,4.81
264,Det Udom,TH,2021-04-20 19:50:00,14.906,105.0784,87.01,89,41,3.44
265,Jaisalmer,IN,2021-04-20 19:50:00,26.9147,70.9181,75.69,44,34,9.95
266,Talnakh,RU,2021-04-20 19:50:01,69.4865,88.3972,-11.25,87,60,2.42
267,San Cristobal,VE,2021-04-20 19:50:01,7.7669,-72.225,91.4,46,20,11.5
268,Tabou,CI,2021-04-20 19:50:02,4.423,-7.3528,81.9,79,32,8.03
269,Geraldton,AU,2021-04-20 19:50:02,-28.7667,114.6,57.2,88,0,10.36
270,Soyo,AO,2021-04-20 19:50:03,-6.1349,12.3689,79.43,83,99,8.1
271,Tuatapere,NZ,2021-04-20 19:50:04,-46.1333,167.6833,51.01,83,97,3.0
272,Avrille,FR,2021-04-20 19:49:31,47.5,-0.5833,55.0,71,0,2.3
273,Lewisporte,CA,2021-04-20 19:50:04,49.2499,-55.0482,33.8,100,90,24.16
274,Erenhot,CN,2021-04-20 19:50:04,43.6475,111.9767,58.37,19,100,11.27
275,Khon Buri,TH,2021-04-20 19:50:05,14.5254,102.2459,84.0,92,73,4.5
276,Cap Malheureux,MU,2021-04-20 19:50:05,-19.9842,57.6142,77.0,83,97,1.99
277,Ewa Beach,US,2021-04-20 19:50:05,21.3156,-158.0072,81.0,65,1,1.68
278,Sobolevo,RU,2021-04-20 19:50:06,54.4299,31.8996,39.02,86,100,8.21
279,Salihorsk,BY,2021-04-20 19:50:06,52.7876,27.5415,41.54,85,83,4.07
280,Bud,US,2021-04-20 19:50:06,39.447,-86.1758,44.01,80,100,13.29
281,Nome,US,2021-04-20 19:50:07,64.5011,-165.4064,28.4,64,1,6.91
282,Arraial Do Cabo,BR,2021-04-20 19:50:07,-22.9661,-42.0278,78.8,73,0,34.52
283,Esperance,AU,2021-04-20 19:50:07,-33.8667,121.9,55.4,100,90,4.61
284,Brownsville,US,2021-04-20 19:47:35,25.9018,-97.4975,82.99,44,40,9.22
285,Alyangula,AU,2021-04-20 19:50:08,-13.8483,136.4192,77.0,100,40,8.68
286,Victoria,HK,2021-04-20 19:45:40,22.2855,114.1577,73.0,84,83,1.99
287,Aksu,CN,2021-04-20 19:50:08,41.1231,80.2644,61.7,34,12,6.44
288,Oktyabrskiy,RU,2021-04-20 19:50:09,54.4815,53.471,36.25,51,30,4.38
289,Westport,US,2021-04-20 19:50:09,41.1415,-73.3579,73.4,49,1,17.27
290,Scottsbluff,US,2021-04-20 19:50:09,41.8666,-103.6672,37.99,52,40,17.27
291,Narsaq,GL,2021-04-20 19:50:10,60.9167,-46.05,44.6,39,75,6.91
292,Mabaruma,GY,2021-04-20 19:50:10,8.2,-59.7833,83.39,56,14,6.96
293,Qingyuan,CN,2021-04-20 19:50:10,23.7,113.0333,75.0,73,75,6.71
294,Kavieng,PG,2021-04-20 19:50:11,-2.5744,150.7967,82.35,73,100,4.14
