City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Malakal,SS,88.86,overcast clouds,9.5334,31.6605,Nile Palace Hotel
263,Tiarei,PF,80.6,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
272,Ixtapa,MX,81.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
273,Luanda,AO,77.0,overcast clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
275,Luganville,VU,83.64,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
277,Loreto,MX,81.12,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
280,Biak,ID,77.65,overcast clouds,-0.9131,122.8766,Penginapan Kim
283,Ayorou,NE,89.38,few clouds,14.7308,0.9174,Hotel Amenokal
286,Vila Velha,BR,79.0,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
290,Vaini,TO,84.2,few clouds,-21.2,-175.2,Keleti Beach Resort
292,Xuddur,SO,76.5,overcast clouds,4.1213,43.8894,Banjanay Hotel
297,Brazzaville,CG,80.6,overcast clouds,-4.2658,15.2832,Hotel Murex
301,Makakilo City,US,82.99,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
306,Kavaratti,IN,83.19,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
307,Savannakhet,LA,81.97,broken clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์
310,Kendari,ID,75.33,overcast clouds,-3.945,122.4989,Hotel Wixel
311,Cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,Hotel Pigalle
312,Jacareacanga,BR,75.54,broken clouds,-6.2222,-57.7528,Casa do Ian😎
316,Sechura,PE,76.71,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
319,Merauke,ID,75.94,heavy intensity rain,-8.4667,140.3333,
321,Hithadhoo,MV,82.08,broken clouds,-0.6,73.0833,Scoop Guest House
323,Shirgaon,IN,80.04,overcast clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
325,Portland,US,75.0,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
330,Bonito,BR,77.67,few clouds,-21.1211,-56.4819,Marruá Hotel
331,Acapulco,MX,84.2,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
333,Hobyo,SO,83.43,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
336,Saint George,US,79.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
340,Mackay,AU,75.2,overcast clouds,-21.15,149.2,International Lodge Motel
343,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
350,Lamu,KE,79.77,light rain,-2.2717,40.902,Lamu House
355,Ilheus,BR,75.2,broken clouds,-14.7889,-39.0494,Barravento Hotel
356,Gorontalo,ID,77.18,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
357,Tautira,PF,80.6,light rain,-17.7333,-149.15,Pension Oaoa
362,Boa Vista,BR,84.2,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
364,Sola,VU,83.16,scattered clouds,-13.8833,167.55,Leumerus Bungalows
365,Port Blair,IN,80.04,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
373,Doembang Nangbuat,TH,82.99,overcast clouds,14.8333,100.1,ธาราริน วิลล่า
374,Parana,AR,75.0,clear sky,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
376,Coahuayana,MX,82.4,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
385,Bengkulu,ID,75.4,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
