City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Description
171,Cockburn Town,21.4612,-71.1419,80.6,scattered clouds,74,40,13.8,TC,scattered clouds
172,Erpeldange,49.8647,6.1147,46.0,scattered clouds,73,29,1.99,LU,scattered clouds
173,Kalisz,51.7611,18.091,46.0,scattered clouds,84,35,7.05,PL,scattered clouds
174,Narsaq,60.9167,-46.05,37.4,broken clouds,56,75,4.61,GL,broken clouds
175,Kuna,43.4918,-116.4201,62.01,clear sky,21,1,5.75,US,clear sky
176,Saldanha,-33.0117,17.9442,60.8,broken clouds,72,83,1.14,ZA,broken clouds
177,Amahai,-3.3333,128.9167,79.3,overcast clouds,84,99,2.26,ID,overcast clouds
178,Qaanaaq,77.484,-69.3632,-0.24,overcast clouds,72,99,6.31,GL,overcast clouds
179,Kavieng,-2.5744,150.7967,83.14,light rain,74,100,4.97,PG,light rain
180,San Policarpo,12.1791,125.5072,77.99,overcast clouds,85,100,6.35,PH,overcast clouds
181,Sidi Ali,36.0998,0.4206,60.33,overcast clouds,56,100,3.87,DZ,overcast clouds
182,Nampa,43.5407,-116.5635,62.01,clear sky,21,1,5.75,US,clear sky
183,Floriano,-6.7669,-43.0225,75.24,overcast clouds,87,100,3.87,BR,overcast clouds
184,Vila,42.0304,-8.1588,51.01,broken clouds,90,55,1.5,PT,broken clouds
185,Sorland,67.667,12.6934,40.8,overcast clouds,84,100,22.88,NO,overcast clouds
186,Kamenka,51.3223,42.7678,53.01,broken clouds,90,68,16.84,RU,broken clouds
187,Palmer,42.1584,-72.3287,68.0,broken clouds,32,75,8.05,US,broken clouds
188,Lodja,-3.4833,23.4333,68.47,overcast clouds,98,100,2.08,CD,overcast clouds
189,Thompson,55.7435,-97.8558,33.8,broken clouds,69,75,16.11,CA,broken clouds
190,Pangnirtung,66.1451,-65.7125,17.6,broken clouds,86,75,3.44,CA,broken clouds
191,Camacha,33.0833,-16.3333,64.4,scattered clouds,72,40,8.05,PT,scattered clouds
